id_,adress,price,district,num_rum,area,num_floor1,num_floor2,add_inform,metro,GK
11,"Патрiарха Мстислава Скрипника , 16/14",485,Соломенский,1,40,4,5,"
Дополнительно : 
(Урицкого)Липкивского 14/18,  1к,  4й этаж, 39метров. сталинка. Новый ремонт, квартира в процессе доукомплектации. плазма/смарт.тв.,  балкон застеклен,  вся мебель и техника новая,  первая сдача,  шкаф купе на всю стену,  сан.узел раздельный,  бойлер.Тихая ,  приятный вид из окон. Чистый подьезд с ремонтом.Через дорогу , Сильпо,  новус ,  Кинотеатр ,  боулинг,  мак.дональдс,  пузата хата,  рестораны и кафе ,  метро Вокзальная ,  101 Тауэр. До Льва Толстого ехать 7минут. При аренде оплачивается 1й месяц проживания+залог в размере месячной арендной стоимости , услуги агенства 50%(без животных) Комиссия: 50%
  ",2,0
12,Глушкова Академiка пр-т,492,Голосеевский,1,54,6,25,"
Дополнительно : 
Глушкова, 9Е. 1комн квартира с современным ремонтом. Первая сдача. Без комиссии!
Просторная и светлая 1-к квартира площадью 55кв.м. находится на 5 этаже 26эт дома. Окна кухни выходят во двор,  а окно спальни на парк. В квартире только закончен ремонт. Все новое! Кухня 15 м. кв. со всей встроенной техникой (холодильник с морозильной камерой,  стеклокерамическая варочная поверхность,  вытяжка,  посудомоечная машинка,  духовой шкаф). В столовой зоне уютно разместился раскладной диван,  способный,  при необходимости,  послужить дополнительным спальным местом. Большая лоджия 4кв.м. застеклена утеплена по всему периметру. В просторной прихожей оборудована гардеробная,  8кв.м.. Спальня площадью 17 м.кв. оформлена в светлых тонах,  способна порадовать своих жильцов большой двуспальной кроватью с ортопедическим матрасом. Здесь же размещен вместительный шкаф-купе. Напольные покрытия- паркетная доска и кафель. В квартире установлен кондиционер,  бойлер,  стиральная машина-автомат,  счетчики на отопление и воду. Тихое место вдали от шума дорог и магистралей. Удобная транспортная развязка. Станция метро Ипподром и Теремки -  в семи минутах ходьбы. Рядом храм Рождества Пресвятой Богородицы,  ТРЦ ""Магелан"",  Караван,  Sport Life,  Ледовый стадион,  теннисные корты и зона отдыха. Первая сдача! Без комиссии! Цена 14000 грн
  ",1,1
13,"Максимовича Михайла , 7а",457,Голосеевский,2,64,12,16,"
Дополнительно : 
Сдам 2-х комнатную квартиру на Максимовича,  7А,  12/16 этажного,  после добротного ремонта,  две раздельные комнаты,  одна из которых спальня,  другая гостиная. Встроенная кухня,  вся техника в наличии,  сан.узел раздельный,  душ.кабина,  в квартире скоростной интернет,  сигнализация. Счетчики на всё. Закрытый двор. Метро Васильковская 15 мин. пешком. Комиссия: 50% Дополнительные контакты: 0665751854.
  ",2,0
14,"улица Пожарского, 13",276,Днепровский,1,32,1,5,"
Дополнительно : 
Аренда 1 ком квартиры с ремонтом по ул.Пожарского 13,  32175,  15 тажного кирпичного дома,   в квартире сделан качественный ремонт,  кухня встроенная со всей бытовой техникой,  варочной поверхностью,  вытяжкой,  духовым шкафом,  СВЧ,  посудомоечной машинкой,  и двухкамерным холодильником,  с кухни есть огромная лоджа,  застеклена и обита деревом. Комната очень просторная,  есть обеденная зона с мягким диваном,  столом,  телевизором,  в комнате встроенные шкафы которые были сделаны под заказ,  диван. В обеденной зоне  есть внизу помещение,  которое отапливается и служил предыдущим квартирантам-кабинетом,  су совместный в кафеле,  также есть СМА,  бойлер,  кондиционер. Отличное месторасположение дома,  рядом магазины,  кафешки,  10 мин до метро Дарница пешком. Цена 7500грн+комм. 
Комиссия АН-50 %
  ",1,1
15,"Перемоги пр-т, 5В",668,Шевченковский,1,37,26,34,"
Дополнительно : 
Вашему вниманию предлагается новая,  комфортная,  очень светлая квартира в ЖК бизнес-класса ""Victory V"" по адресу,  пр-кт Победы,  5-В 
Дом расположен в непосредственной близости от площади Победы с прекрасно развитой инфраструктурой. 

 Отличная транспортная развязка. Подземный и гостевой паркинг,  круглосуточная охрана,  видео-наблюдение. Метро Вокзальная в 10-12 минутах пешком.

 Квартира и вся комплектация-абсолютно новые,  первая сдача. Вы будете первыми ;)
 Планировка студио+просторная гардеробная,  с/у совмещен,  наличие французского балкончика с потрясающим видом на центр города,  будет приятным бонусом )

 Отличный качественный ремонт,  вся необходимая мебель и техника. 
 Стиральная машина с сушкой,  посудомоечная машина,  кондиционер,  телевизор 4K с функцией Smart-ТV.

 Просмотры в любое время по договоренности

 Связь по телефону,  либо через удобные для Вас месенжеры Комиссия: 50%
  ",2,1
16,"Днiпровська наб., 16г",563,Дарницкий,2,40,4,25,"
Дополнительно : 
Первая сдача. ЖК Севен. Ремонт в стиле Лофт,  встроенная кухня-гостиная,  спальня отдельно,  квартира меблирована,  диван,  кровать,  шкаф купе,  укомплектована бытовой техникой,  посудомоечная машина,  кондиционер,  бойлер,  интернет,  в доме охрана,  подземный паркинг,  кафе,  рестораны,  метро Осокорки 8-10 минут пешком.
Цена 16000грн.
Контактное лицо Данил 0976401335,  0663159971 Комиссия: 50%
  ",2,1
17,"Богданiвська , 7A",563,Соломенский,1,50,7,25,"
Дополнительно : 
Снимите евродвушку Богдановская 7д в ЖК Малахит и живите с комфортом.
ЖК Малахит с закрытой территорией.
В квартире функциональная планировка: большая кухня-гостинная и спальня.
О квартире:
качественный ремонт
новая мебелью.
современная бытовая техника
окна в пол с шикарным видом
Центральное отопление,  горячая вода - централизованная. На все установлены счетчики.. Дом сдан в эксплуатацию.Своя инфраструктура на территории комплекса - променадная аллея с фонтаном,  3 кафе,  2 салона красоты,  маркет,  стоматологическая клиника,  барбер шоп. Под комплексом большой супермаркет Мегамаркет; рядом школы,  детсады,  остановки,  развлекательные заведения,  парк. Удобная транспортная развязка,  10 мин. ходьбы до метро Вокзальная. Комиссия: 50% Дополнительные контакты: 0665751854.
  ",3,1
18,"Чорновола В`ячеслава , 25",1000,Шевченковский,3,118,16,17,"
Дополнительно : 
ул.Черновола, 25,  16/17,  117/69/18,  Замечательная 3х комнатная квартира в престижном доме постройки 2005г. Качественный ремонт в классическом стиле. Полностью меблирована,  оборудована быт. техникой,  установлены кондиционеры,  бойлер,  качественная сантехника. Функциональная планировка - 2с/у,  гардеробная,  просторная кухня-столовая,  завораживающий панорамный вид,  паркинг во дворе -безусловно,  еще один большой плюс к характеристике нашего объекта. Максимально комфортная инфраструктура,  удобная транспортная развязка,  близость к метро Лукьяновская! торг Комиссия: 50% Дополнительные контакты: 0678016218,  0953211680.
  ",2,0
19,"Драгомирова Михайла , 4",862,Печерский,3,120,8,17,"
Дополнительно : 
Аренда 3х комнатной квартиры рядом с метро Дружбы народов по улице Драгомирова 4. Квартира полностью меблирована,  укомплектована бытовой техникой. Закрытая парковка возле дома,   консьерж,  ухоженный дом и подъезд. Квартира в отличном состоянии,  отделка деревом, комфортное зонирование,  большая оборудованная для отдыха лоджия. Без комиссии.
  ",1,0
20,"Градинська , 1",334,Деснянский,2,73,24,25,"
Дополнительно : 
Аренда новой квартиры с ремонтом на Троещине.    

г. Киев,  Деснянский район,  ул. Градинская,  1. 
Квартира площадью 73, 4 кв.м,  24 этаж. Новая квартира с ремонтом. Новая мебель и техника,  счётчик тепла. Из окон открывается прекрасный вид. Развитая инфраструктура,  рядом ТРЦ ""Район"". Стоимость 9, 5 тыс.грн. От владельца. Без комиссии. Видео о доме - www.youtube.com/watch?v=uKi97MvJGUc

Тел.: (068) 128-62-33  Александр
  ",3,0
21,"Басейна , 12",809,Печерский,3,90,4,6,"
Дополнительно : 
3-х комнатная смежно-раздельная VIP квартира в стиле модерн,  2 с/узла,  в одном  классическая ванна,  в другом  душ-кабина гидромассаж. В уютных спальнях большие удобные кровати. Кухня - студио,  большой стеклянный обеденный стол. Диван в гостиной раскладывается. Квартира на 4-м этаже с лифтом. Ближайшее метро Крещатик - 5 минут ходьбы. Рядом находятся: Бессарабский рынок,  развлекательный комплекс Арена,  кафе Украинська кухня,  ресторан Фрайдис. Дополнительные контакты: 0504108878.
  ",2,0
